,City,Longitude,Latitude,Temperature,Humidity,Wind Speed,Cloud Cover %,Country,Date
0,Qaanaaq,-69.36,77.48,21.68600000000007,88,8.61,100,GL,1587251581
1,Vaini,-175.2,-21.2,80.6,74,5.1,40,TO,1587251581
2,Avinurme,26.86,58.98,35.00600000000003,93,1.79,87,EE,1587251581
3,Husavik,-17.34,66.04,46.4,70,15.4,75,IS,1587251583
4,Rikitea,-134.97,-23.12,77.41400000000004,70,2.65,42,PF,1587251583
5,Chivacoa,-68.89,10.16,74.4260000000001,71,2.73,42,VE,1587251583
6,Pedasí,-80.03,7.53,82.4,73,3.75,96,PA,1587251583
7,Jamestown,-79.24,42.1,46.004000000000055,41,6.2,1,US,1587251583
8,Kansanshi,26.43,-12.1,59.86400000000003,65,2.49,36,ZM,1587251583
9,Isangel,169.27,-19.55,80.6,88,3.1,75,VU,1587251583
10,Yellowknife,-114.35,62.46,24.998000000000026,92,5.7,90,CA,1587251584
11,San Patricio,-104.7,19.22,80.6,83,6.2,20,MX,1587251584
12,Apatou,-54.35,5.16,75.79400000000007,94,1.41,100,GF,1587251584
13,Punta Arenas,-70.92,-53.15,50.0,57,6.7,40,CL,1587251584
14,Zuénoula,-6.04,7.43,75.7760000000001,86,1.96,85,CI,1587251584
15,Port Augusta,137.77,-32.5,60.00800000000001,93,1.5,11,AU,1587251584
16,Puerto Ayora,-90.35,-0.74,84.2,70,4.6,40,EC,1587251584
17,Atasū,71.64,48.68,49.73000000000005,39,3.25,21,KZ,1587251585
18,Carnarvon,113.63,-24.87,71.6,88,3.6,72,AU,1587251585
19,Dikson,80.55,73.51,35.65400000000005,87,9.26,100,RU,1587251585
20,Butaritari,172.79,3.07,83.33600000000007,77,7.75,88,KI,1587251585
21,New Norfolk,147.06,-42.78,50.0,84,0.98,79,AU,1587251429
22,Iqaluit,-68.51,63.75,3.1999999999999993,71,3.1,20,CA,1587251586
23,Busselton,115.33,-33.65,60.998000000000026,98,9.85,95,AU,1587251586
24,Beian,9.57,63.66,42.8,93,2.1,75,NO,1587251586
25,Ushuaia,-68.3,-54.8,48.2,57,1.75,40,AR,1587251482
26,Kaitangata,169.85,-46.28,59.0,59,3.58,82,NZ,1587251587
27,Tessalit,1.01,20.2,83.89400000000008,12,3.47,4,ML,1587251587
28,Shache,77.24,38.42,53.294000000000075,45,3.93,91,CN,1587251587
29,Abu Samrah,37.18,35.3,62.61800000000009,54,1.52,11,SY,1587251588
